,DateNum
627,20240625
628,20240626
629,20240627
630,20240628
631,20240629
632,20240630
633,20240701
634,20240702
635,20240703
636,20240704
637,20240705
638,20240706
639,20240707
640,20240708
641,20240709
642,20240710
643,20240711
644,20240712
645,20240713
646,20240714
647,20240715
648,20240716
649,20240717
650,20240718
651,20240719
652,20240720
653,20240721
654,20240722
655,20240723
656,20240724
657,20240725
658,20240726
659,20240727
660,20240728
661,20240729
662,20240730
663,20240731
664,20240801
665,20240802
666,20240803
667,20240804
668,20240805
669,20240806
670,20240807
671,20240808
672,20240809
673,20240810
674,20240811
675,20240812
676,20240813
677,20240814
678,20240815
679,20240816
680,20240817
681,20240818
682,20240819
683,20240820
684,20240821
685,20240822
686,20240823
687,20240824
688,20240825
689,20240826
690,20240827
691,20240828
692,20240829
693,20240830
694,20240831
695,20240901
696,20240902
697,20240903
698,20240904
699,20240905
700,20240906
701,20240907
702,20240908
703,20240909
704,20240910
705,20240911
706,20240912
707,20240913
708,20240914
709,20240915
710,20240916
711,20240917
712,20240918
713,20240919
714,20240920
715,20240921
716,20240922
717,20240923
718,20240924
719,20240925
720,20240926
721,20240927
722,20240928
723,20240929
724,20240930
725,20241001
726,20241002
727,20241003
728,20241004
729,20241005
730,20241006
731,20241007
732,20241008
733,20241009
734,20241010
735,20241011
736,20241012
737,20241013
738,20241014
739,20241015
740,20241016
741,20241017
742,20241018
743,20241019
744,20241020
745,20241021
746,20241022
747,20241023
748,20241024
749,20241025
750,20241026
751,20241027
752,20241028
753,20241029
754,20241030
755,20241031
756,20241101
757,20241102
758,20241103
759,20241104
760,20241105
761,20241106
762,20241107
763,20241108
764,20241109
765,20241110
766,20241111
767,20241112
768,20241113
769,20241114
770,20241115
771,20241116
772,20241117
773,20241118
774,20241119
775,20241120
776,20241121
777,20241122
778,20241123
779,20241124
780,20241125
781,20241126
782,20241127
783,20241128
784,20241129
785,20241130
786,20241201
787,20241202
788,20241203
789,20241204
790,20241205
791,20241206
792,20241207
793,20241208
794,20241209
795,20241210
796,20241211
797,20241212
798,20241213
799,20241214
800,20241215
801,20241216
802,20241217
803,20241218
804,20241219
805,20241220
806,20241221
807,20241222
808,20241223
809,20241224
810,20241225
811,20241226
812,20241227
813,20241228
814,20241229
815,20241230
816,20241231
817,20250101
818,20250102
819,20250103
820,20250104
821,20250105
822,20250106
823,20250107
824,20250108
825,20250109
826,20250110
827,20250111
828,20250112
829,20250113
830,20250114
831,20250115
832,20250116
833,20250117
834,20250118
835,20250119
836,20250120
837,20250121
838,20250122
839,20250123
840,20250124
841,20250125
842,20250126
843,20250127
844,20250128
845,20250129
846,20250130
847,20250131
848,20250201
849,20250202
850,20250203
851,20250204
852,20250205
853,20250206
854,20250207
855,20250208
856,20250209
857,20250210
858,20250211
859,20250212
860,20250213
861,20250214
862,20250215
863,20250216
864,20250217
865,20250218
866,20250219
867,20250220
868,20250221
869,20250222
870,20250223
871,20250224
872,20250225
873,20250226
874,20250227
875,20250228
Sum,"DateNum
20230601    101.0
20230602    101.0
20230603    101.0
20230604    101.0
20230605    101.0
            ...  
20250224      0.0
20250225      0.0
20250226      0.0
20250227      0.0
20250228      0.0
Name: Sum, Length: 639, dtype: float64"
